来源,序号/名称,标题/名称,提取餐厅/地点名,Google Maps查询URL,Google查询词,Google候选名,Google候选详情,Google纬度,Google经度,Google页面文件,Google搜索状态,是否可先作为地址候选,备注
小红书,54,塔什干 100块的brunch 巧克力蛋糕超浓郁,COCOCHOU BAKERY,https://www.google.com/maps/search/COCOCHOU%20BAKERY%20Tashkent%20Uzbekistan%20restaurant,brunch brunch Tashkent Uzbekistan cake shop,COCOCHOU BAKERY,4.7 (60)·UZS 5-20万 | 早午餐·Mirobod ko'chasi 39 | 已结束营业 · 开始营业时间：09:00 | 外带,41.2928277,69.2717089,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/11_seq54_100块的brunch_巧克力蛋糕超浓郁.md,Google有坐标待Yandex坐标复核,是,
小红书,56,塔什干 友谊餐厅,友谊餐厅,https://www.google.com/maps/search/%E5%8F%8B%E8%B0%8A%E9%A4%90%E5%8E%85%20Tashkent%20Uzbekistan%20restaurant,Tashkent Uzbekistan restaurant,Yuzhanin,4.7 (689) | 餐馆·Turkiston ko'chasi 12a | 已结束营业 · 开始营业时间：11:00 | 堂食·外带,41.2915523,69.2837310,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/13_seq56_友谊餐厅.md,Google有坐标待Yandex坐标复核,是,
小红书,57,塔什干 index市场里的福建菜,Index market,https://www.google.com/maps/search/Index%20market%20Tashkent%20Uzbekistan%20restaurant,index in market Tashkent Uzbekistan,Tashkent Index,4.5 (239) | 展览贸易中心··662Q+52W | 已结束营业 · 开始营业时间：09:00· +998 99 332 33 33,41.2004991,69.2375901,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/14_seq57_index.md,Google有坐标待Yandex坐标复核,是,
小红书,64,塔什干 kfc的穷鬼套餐,KFC,https://www.google.com/maps/search/KFC%20Tashkent%20Uzbekistan%20restaurant,kfc kfc Tashkent Uzbekistan,KFC,3.3 (58)·UZS 5-10万 | 快餐·Улица Баходира 1 | 24 小时营业·+998 78 129 70 00 | 堂食·外带·送货,41.2986729,69.2460701,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/16_seq64_kfc的穷鬼套餐.md,Google有坐标待Yandex坐标复核,是,
小红书,81,塔什干 美少女聚集的咖啡屋 Cocochou,Cocochou,https://www.google.com/maps/search/Cocochou%20Tashkent%20Uzbekistan%20restaurant,Cocochou Cocochou Tashkent Uzbekistan coffee shop,# Google 地图,,41.2928277,69.2717089,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/24_seq81_Cocochou.md,Google有坐标待Yandex坐标复核,是,Google页面有坐标但候选名未解析出具体地点名，需打开详情页确认
小红书,85,塔什干 光盘每一餐的店 湘疆缘,湘疆缘,https://www.google.com/maps/search/%E6%B9%98%E7%96%86%E7%BC%98%20Tashkent%20Uzbekistan%20restaurant,Yan Tashkent Uzbekistan,Yapartner,"2.8 (207) | 出租车公司··Ташкент, Чиланзарский район квартал 6, 22 | +998 97 720 78 89 | 门店服务",41.2838846,69.2102931,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/27_seq85_湘疆缘.md,Google有坐标待Yandex坐标复核,是,
小红书,99,塔什干 早餐 goodfood,Good Food,https://www.google.com/maps/search/Good%20Food%20Tashkent%20Uzbekistan%20restaurant,goodfood goodfood Tashkent Uzbekistan breakfast cafe,Bakery & Coffee by Good Food,5.0 (2) | 咖啡店·Qatartol ko'chasi | 已结束营业 · 开始营业时间：10:00 | 堂食·路边自提·送货,41.2797506,69.1993923,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/31_seq99_塔什干_早餐_goodfood.md,Google有坐标待Yandex坐标复核,是,
小红书,105,塔什干 啵啵唇美女如云的餐吧oko,Oko,https://www.google.com/maps/search/Oko%20Tashkent%20Uzbekistan%20restaurant,Tashkent Uzbekistan oko bar restaurant,# Google 地图,,41.3270300,69.3375740,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/32_seq105_啵啵唇美女如云的.md,Google有坐标待Yandex坐标复核,是,Google页面有坐标但候选名未解析出具体地点名，需打开详情页确认
小红书,109,塔什干 茶沃奶茶,茶沃,https://www.google.com/maps/search/%E8%8C%B6%E6%B2%83%20Tashkent%20Uzbekistan%20restaurant,compass bubble tea Tashkent Uzbekistan,【CHAOMI】东方茶蜜 Bubble Tea,"4.9 (14) | 珍珠奶茶·D30 Shop, Seoul Street, 183 1st floor | 已结束营业 · 开始营业时间：11:00 | 堂食·路边自提·无接触配送",41.2985312,69.2444507,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/34_seq109_茶沃.md,Google有坐标待Yandex坐标复核,是,
小红书,126,塔什干 百味餐厅 这地方太危险了,百味餐厅,https://www.google.com/maps/search/%E7%99%BE%E5%91%B3%E9%A4%90%E5%8E%85%20Tashkent%20Uzbekistan%20restaurant,Tashkent Uzbekistan restaurant,Yuzhanin,4.7 (689) | 餐馆·Turkiston ko'chasi 12a | 已结束营业 · 开始营业时间：11:00 | 堂食·外带,41.2915523,69.2837310,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/40_seq126_百味餐厅.md,Google有坐标待Yandex坐标复核,是,
