剩余序号,来源,序号/名称,标题/名称,提取名,处理结果,原因,后续动作,小红书搜索关键词,原帖链接,作者昵称/用户名,作者小红书号,作者主页链接,证据摘录,本地搜索页
5,微信餐厅,长安巷·融合菜,长安巷·融合菜,长安巷·融合菜,读取失败/疑似安全验证,页面内容过短或出现验证/登录/访问异常提示，不采信,安全验证恢复后慢速读取,长安巷·融合菜 塔什干,微信文章,微信文章来源，无小红书作者,微信文章来源，无小红书号,,,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xiaohongshu_research_for_unresolved56/final16_xhs_search_pages/05_长安巷_融合菜.md
6,微信餐厅,成都蜀味汤火锅,成都蜀味汤火锅,成都蜀味汤火锅,读取失败/疑似安全验证,页面内容过短或出现验证/登录/访问异常提示，不采信,安全验证恢复后慢速读取,成都蜀味汤火锅 塔什干,微信文章,微信文章来源，无小红书作者,微信文章来源，无小红书号,,,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xiaohongshu_research_for_unresolved56/final16_xhs_search_pages/06_成都蜀味汤火锅.md
7,微信餐厅,西南川菜馆,西南川菜馆,西南川菜馆,读取失败/疑似安全验证,页面内容过短或出现验证/登录/访问异常提示，不采信,安全验证恢复后慢速读取,西南川菜馆 塔什干,微信文章,微信文章来源，无小红书作者,微信文章来源，无小红书号,,,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xiaohongshu_research_for_unresolved56/final16_xhs_search_pages/07_西南川菜馆.md
8,微信餐厅,VINO GALAXY 酒水管家,VINO GALAXY 酒水管家,VINO GALAXY 酒水管家,读取失败/疑似安全验证,页面内容过短或出现验证/登录/访问异常提示，不采信,安全验证恢复后慢速读取,VINO GALAXY 酒水管家 塔什干,微信文章,微信文章来源，无小红书作者,微信文章来源，无小红书号,,https://www.xiaohongshu.com/website-login/captcha?redirectPath=https%3A%2F%2Fwww.xiaohongshu.com%2Fsearch_result%2F%3Fkeyword%3DVINO%20GALAXY%20%E9%85%92%E6%B0%B4%E7%AE%A1%E5%AE%B6%20%E5%A1%94%E4%BB%80%E5%B9%B2%26exSource%3D&verifyUuid=6b29cd88-b5ce-44b4-80e8-77225770a0b7&verifyType=124&verifyBiz=461&verifyMsg=null,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xiaohongshu_research_for_unresolved56/final16_xhs_search_pages/08_VINO_GALAXY_酒水管家.md
9,微信餐厅,包子客牛肉汤包,包子客牛肉汤包,包子客牛肉汤包,读取失败/疑似安全验证,页面内容过短或出现验证/登录/访问异常提示，不采信,安全验证恢复后慢速读取,包子客牛肉汤包 塔什干,微信文章,微信文章来源，无小红书作者,微信文章来源，无小红书号,,,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xiaohongshu_research_for_unresolved56/final16_xhs_search_pages/09_包子客牛肉汤包.md
11,微信餐厅,土窑烧烤,土窑烧烤,土窑烧烤,读取失败/疑似安全验证,页面内容过短或出现验证/登录/访问异常提示，不采信,安全验证恢复后慢速读取,土窑烧烤 塔什干,微信文章,微信文章来源，无小红书作者,微信文章来源，无小红书号,,,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xiaohongshu_research_for_unresolved56/final16_xhs_search_pages/11_土窑烧烤.md
12,微信餐厅,万记川湘菜,万记川湘菜,万记川湘菜,读取失败/疑似安全验证,页面内容过短或出现验证/登录/访问异常提示，不采信,安全验证恢复后慢速读取,万记川湘菜 塔什干,微信文章,微信文章来源，无小红书作者,微信文章来源，无小红书号,,,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xiaohongshu_research_for_unresolved56/final16_xhs_search_pages/12_万记川湘菜.md
13,微信餐厅,阿尔马雷克市好运中餐厅,阿尔马雷克市好运中餐厅,阿尔马雷克市好运中餐厅,读取失败/疑似安全验证,页面内容过短或出现验证/登录/访问异常提示，不采信,安全验证恢复后慢速读取,阿尔马雷克市好运中餐厅 塔什干,微信文章,微信文章来源，无小红书作者,微信文章来源，无小红书号,,,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xiaohongshu_research_for_unresolved56/final16_xhs_search_pages/13_阿尔马雷克市好运中餐厅.md
14,微信餐厅,长安大饭店,长安大饭店,长安大饭店,未读取,本地没有保存页面，等待安全验证恢复后再慢速读取,安全验证恢复后慢速读取,长安大饭店 塔什干,微信文章,微信文章来源，无小红书作者,微信文章来源，无小红书号,,,
15,微信餐厅,撒马尔罕新疆风味餐厅,撒马尔罕新疆风味餐厅,撒马尔罕新疆风味餐厅,未读取,本地没有保存页面，等待安全验证恢复后再慢速读取,安全验证恢复后慢速读取,撒马尔罕新疆风味餐厅 塔什干,微信文章,微信文章来源，无小红书作者,微信文章来源，无小红书号,,,
16,微信餐厅,安集延国际酒店中餐厅（川湘菜）,安集延国际酒店中餐厅（川湘菜）,安集延国际酒店中餐厅（川湘菜）,未读取,本地没有保存页面，等待安全验证恢复后再慢速读取,安全验证恢复后慢速读取,安集延国际酒店中餐厅（川湘菜） 塔什干,微信文章,微信文章来源，无小红书作者,微信文章来源，无小红书号,,,
