剩余序号,提取名,处理结果,原因,原帖链接,作者昵称/用户名,作者小红书号,作者主页链接,地址/坐标,地图核验,证据文件
1,念家湘湘菜馆,删除放弃,已读取搜索页、用户原帖、经营者主页、地点相关笔记；仅确认塔什干、电话、夏日酒店/华成商务酒店关系，未得到可核验地址或地图地点详情,https://www.xiaohongshu.com/explore/67e15d50000000001d03b5da?xsec_token=ABSjbROGibr6YvnxefwZ5zliCxwUru-bjNkgOJGVgQ6RQ=&xsec_source=,噗💨🤓；塔什干《念家湘湘菜馆》+998772622888,经营者主页：26482737803,https://www.xiaohongshu.com/user/profile/65990d2b0000000022014029?xsec_token=ABZgXI68uCkxo3O83OB6bc3idKI2YD0kwFFJtuSOjARrQ=&xsec_source=pc_search,,,outputs/final16_live_retry_01_念家湘湘菜馆_post1.md; outputs/final16_live_retry_01_念家湘湘菜馆_profile_phone.md; outputs/final16_live_retry_01_念家湘湘菜馆_post_huacheng.md
2,中乌饭店,保留-地址坐标已核验,小红书原帖给出明确地址；Yandex 地址详情页给出同一地址坐标。地图结果为地址/建筑物详情，不是同名餐厅 POI,https://www.xiaohongshu.com/explore/6885148a000000001002412f?xsec_token=ABWhs2SRqQxSdKmW6ZjpfaLjrUSfH9H1P80R2Ga5vlEX0=&xsec_source=,噗💨🤓,,https://www.xiaohongshu.com/user/profile/5a05865411be1027ee4ab2cf?channel_type=web_note_detail_r10&parent_page_channel_type=web_profile_board&xsec_token=AB7sIuClz-AUPGnwSSBxpRsX3wNo1Wx9KSW_ucMK9pU2E=&xsec_source=pc_note,"Улица Нукусская 83 А / Nukus Street, 83A, Tashkent; 41.286675, 69.271661","Yandex 地址详情：Nukus Street, 83A, Tashkent; Coordinates: 41.286675, 69.271661",outputs/final16_live_retry_02_中乌饭店_post1.md; outputs/final16_live_retry_02_中乌饭店_yandex_nukus83a.md
3,成都饭店,删除放弃,已读取原帖和疑似官方主页；原帖只确认塔什干中餐语境，主页仅有账号名和小红书号，未得到可核验地址或地图地点详情,https://www.xiaohongshu.com/explore/694fc617000000002103cd6c?xsec_token=ABhoWXRS5FACLGrVPoOjdBxq-JhdrtG-zA-YLmp26WBJM=&xsec_source=,每天都想炒老板；塔什干成都饭店,疑似官方主页：26484846050,https://www.xiaohongshu.com/user/profile/5d2f4573000000001200968c?xsec_token=ABdw3p5SpWxkxsp3jScS5ytzT1YPsmJddt5GFbARJfSdA=&xsec_source=pc_comment,,,outputs/final16_live_retry_03_成都饭店_post1.md; outputs/final16_live_retry_03_成都饭店_profile_official.md
4,川湘食府,保留-地址坐标已核验,小红书原帖给出明确地址；Yandex 地址详情页给出同一地址坐标。地图结果为地址/建筑物详情，不是同名餐厅 POI,https://www.xiaohongshu.com/explore/66fadb96000000001b0220c0?xsec_token=ABFabGpLu8U56g5QxZRrQSN7rHsGu7a0Ziw0o8s0T0FCA=&xsec_source=,噗💨🤓,,https://www.xiaohongshu.com/user/profile/5a05865411be1027ee4ab2cf?channel_type=web_note_detail_r10&parent_page_channel_type=web_profile_board&xsec_token=AB7sIuClz-AUPGnwSSBxpRsX3wNo1Wx9KSW_ucMK9pU2E=&xsec_source=pc_note,"Ташкент, улица Сарыкуль, 4 / Sarykul Street, 4, Tashkent; 41.286715, 69.282845","Yandex 地址详情：Sarykul Street, 4, Tashkent; Coordinates: 41.286715, 69.282845",outputs/final16_live_retry_04_川湘食府_post1.md; outputs/final16_live_retry_04_川湘食府_yandex_sarykul4.md
5,长安巷·融合菜,保留-用户补充地址坐标已核验,"搜索页有同名结果“长安巷🇺🇿”，但原帖访问异常；用户补充地址 Tashkent, Katta Mirobod Street, 139，Yandex 地址详情页给出同一地址坐标。地图结果为地址/建筑物详情，不是同名餐厅 POI",https://www.xiaohongshu.com/search_result/68a88ebd000000001c0145b4?xsec_token=ABv3SCXK2O8Q4E222dqxYe9jTiX38AJSVWPrimj2mSLvY=&xsec_source=,噗💨🤓,,,"Tashkent, Katta Mirobod Street, 139 / Katta Mirabad Street, 139, Tashkent; 41.288402, 69.267654","Yandex 地址详情：Katta Mirabad Street, 139, Tashkent; Coordinates: 41.288402, 69.267654",outputs/final16_live_retry_05_长安巷_融合菜_search.md; outputs/final16_live_retry_05_长安巷_融合菜_post1.md; outputs/final16_remote_retry_05_长安巷_融合菜_post1.md; outputs/user_address_yandex_长安巷_katta_mirobod_139.md
6,成都蜀味汤火锅,保留-地址坐标已核验,小红书原帖给出明确地址；Yandex 地址详情页给出同一地址坐标。地图结果为地址/建筑物详情，不是同名餐厅 POI,https://www.xiaohongshu.com/explore/68dfbc020000000007035799?xsec_token=ABD61I67y0jkr2zimBoxlPiX56L843fpLFcvPTyI-Za4s=&xsec_source=,噗💨🤓,,https://www.xiaohongshu.com/user/profile/5a05865411be1027ee4ab2cf?channel_type=web_note_detail_r10&parent_page_channel_type=web_profile_board&xsec_token=AB7sIuClz-AUPGnwSSBxpRsX3wNo1Wx9KSW_ucMK9pU2E=&xsec_source=pc_note,"Abdurauf Fitrat 97 / Abdurauf Fitrat Street, 97, Tashkent; 41.268926, 69.298970","Yandex 地址详情：Abdurauf Fitrat Street, 97, Tashkent; Coordinates: 41.268926, 69.298970",outputs/final16_live_retry_06_成都蜀味汤火锅_search_after_verify.md; outputs/final16_live_retry_06_成都蜀味汤火锅_post1.md; outputs/final16_live_retry_06_成都蜀味汤火锅_yandex_fitrat97.md
7,西南川菜馆,删除放弃,已读取搜索页；结果为泛川菜/中餐结果，未出现同名或强相关原帖，也未得到可核验地址或地图地点详情,,,,,,,outputs/final16_live_retry_07_西南川菜馆_search.md
8,VINO GALAXY 酒水管家,删除放弃,已读取搜索页；结果为塔什干酒吧/酒庄等泛结果，未出现同名或强相关店铺原帖，也未得到可核验地址或地图地点详情,,,,,,,outputs/final16_live_retry_08_VINO_GALAXY_search.md
9,包子客牛肉汤包,删除放弃,已读取搜索页和两篇高相关原帖；第一篇仅确认店名和早餐语境，第二篇为山东语境，均未得到可核验地址或地图地点详情,https://www.xiaohongshu.com/explore/684cd92f00000000210187e8?xsec_token=ABn-SuCUf1pFivLxxplyLvKa62PJPHo-sabQ8_gT7FOT4=&xsec_source=; https://www.xiaohongshu.com/explore/6849759d000000002202eb20?xsec_token=ABe1qAFO71hvVDmRy2u-e9QgjrkWkJY5bZcpCs1Di11AU=&xsec_source=,芹香子；新雨初霁,,https://www.xiaohongshu.com/user/profile/5a03aae94eacab0ed84430dc?channel_type=web_note_detail_r10&parent_page_channel_type=web_profile_board&xsec_token=ABT3Xn90nGyNN_xVQaNJ5sBhjNbs6KcENlRiNzB2a9KLI=&xsec_source=pc_note; https://www.xiaohongshu.com/user/profile/616463ba000000000202486b?channel_type=web_note_detail_r10&parent_page_channel_type=web_profile_board&xsec_token=ABk0rKEbmVFgmKSgUYA8zarcwvnZoXXm_l1HyrBqE0WyQ=&xsec_source=pc_note,,,outputs/final16_live_retry_09_包子客牛肉汤包_search.md; outputs/final16_live_retry_09_包子客牛肉汤包_post1.md; outputs/final16_live_retry_09_包子客牛肉汤包_post2.md
10,川渝私房菜（东方明珠酒店）,保留-用户补充地址坐标已核验,"已读取搜索页和原帖正文评论，原帖只确认塔什干川渝私房菜语境；用户补充地址 Hamal koʻchasi, 25/2，Yandex 地址详情页给出同一地址坐标。地图显示楼内为 Vostok 酒店，未确认东方明珠酒店关系",https://www.xiaohongshu.com/explore/686def420000000022033edc?xsec_token=AB2KQvfcoBPXPrwksbcLWo-TEKO7jqZc2ISTu0MzcMMLA=&xsec_source=,信女愿天下有心人终能下签,,https://www.xiaohongshu.com/user/profile/59f4c19e4eacab582e014872?channel_type=web_note_detail_r10&parent_page_channel_type=web_profile_board&xsec_token=ABt-PMFvwAAGkfIXUrU8a5rjP6vq8OF804Jvy8MigCUbM=&xsec_source=pc_note,"Hamal koʻchasi, 25/2 / Hamal Street, 25/2, Tashkent; 41.284059, 69.302194","Yandex 地址详情：Hamal Street, 25/2, Tashkent; Coordinates: 41.284059, 69.302194；楼内显示 Vostok 酒店",outputs/final16_live_retry_10_川渝私房菜_post1.md; outputs/user_address_yandex_川渝私房菜_hamal_street_25_2.md
11,土窑烧烤,删除放弃,已读取搜索页和高相关“土窑坑烤”原帖；原帖为天津语境，不对应塔什干，且未得到可核验地址或地图地点详情,https://www.xiaohongshu.com/explore/6822c8820000000022004ca5?xsec_token=ABfRKRDLP_Mo4urvl9wJjbBXHc29oBqmuKYmnnO459Owg=&xsec_source=,Winnie,,https://www.xiaohongshu.com/user/profile/589de314a9b2ed495823a89d?channel_type=web_note_detail_r10&parent_page_channel_type=web_profile_board&xsec_token=AB40tRRClqRCD9aG69FoM3nuqcJt1cd9ThhLW4ItYrYBw=&xsec_source=pc_note,,,outputs/final16_live_retry_11_土窑烧烤_search.md; outputs/final16_live_retry_11_土窑烧烤_post1.md
12,万记川湘菜,删除放弃,已读取搜索页和同名原帖；正文仅评价菜品，评论仅有人询问位置，未得到可核验地址或地图地点详情,https://www.xiaohongshu.com/explore/68a61ae0000000001b0305e3?xsec_token=ABJIoXZe-0j5wYfD5_ODaAhBkfrVmzBigyNZs3pCQwFM0=&xsec_source=,爱吃的杨,,https://www.xiaohongshu.com/user/profile/60c4ad980000000001007832?channel_type=web_note_detail_r10&parent_page_channel_type=web_profile_board&xsec_token=AB3h4psCpQvHHO0QHNVPLQLoH3SBQ6JcAAAzK4QIqw5ZQ=&xsec_source=pc_note,,,outputs/final16_live_retry_12_万记川湘菜_search.md; outputs/final16_live_retry_12_万记川湘菜_post1.md
13,阿尔马雷克市好运中餐厅,删除放弃,已读取搜索页；未出现同名或强相关原帖，只有泛中餐结果和联想词，未得到可核验地址或地图地点详情,,,,,,,outputs/final16_live_retry_13_阿尔马雷克市好运中餐厅_search.md
