来源,序号/名称,标题/名称,提取名,新提取餐厅/地点名,原因分类,原因详情,按新规则处理,原帖链接,作者小红书号
小红书,4,塔什干｜乌兹庭院民族风餐厅JIGARIM,JIGARIM,JIGARIM,Google候选名称不明确，未采信,Google候选=# Google 地图; 备注=Google有坐标但候选名不是明确地点名，暂不采信,保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/6a2450f900000000080314b7?xsec_token=AB7bG790pzJhiT1qeixtwKfpgx_PrHbfADpRHybSnt5RM=&xsec_source=pc_user,5995009986
小红书,5,塔什干｜乌兹庭院民族风餐厅JIGARIM,JIGARIM,JIGARIM,Google未解析到可用坐标,Google候选=# Google 地图; 备注=Google未解析到可用坐标,保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/6a2450f900000000080314b7?xsec_token=AB7bG790pzJhiT1qeixtwKfpgx_PrHbfADpRHybSnt5RM=&xsec_source=pc_user,5995009986
小红书,7,塔什干｜乌兹民族菜 Shesh Besh,Shesh Besh,Shesh Besh,Google候选名称不明确，未采信,Google候选=# Google 地图; 备注=Google有坐标但候选名不是明确地点名，暂不采信,保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/6a1b03e40000000006037703?xsec_token=AB1gQJ9U5Xz241Syy3WHNn1UChLR_sCcrkuF06LIegky8=&xsec_source=pc_user,5995009986
小红书,9,塔什干｜抓饭博物馆,plov museum,plov museum,Google未解析到可用坐标,Google候选=# Google 地图; 备注=Google未解析到可用坐标,保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/6a10ea4600000000080020ba?xsec_token=AB7KhBpQauvizbNP-q_9rY8ZUJj_JZ8gUyN943A2Zc9rQ=&xsec_source=pc_user,5995009986
小红书,10,塔什干｜印度菜 The host,The host,The Host,Google未解析到可用坐标,Google候选=# Google 地图; 备注=Google未解析到可用坐标,保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/6a10a0590000000006032837?xsec_token=AB7KhBpQauvizbNP-q_9rY8fWeqSU0ZucsMGJ5BVVnMEQ=&xsec_source=pc_user,5995009986
小红书,12,塔什干｜Lali 高品质乌兹民族菜 都吃啥,Lali,Lali,Google未解析到可用坐标,Google候选=# Google 地图; 备注=Google未解析到可用坐标,保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/6a095f8a00000000060372f0?xsec_token=ABlCoBcqWGmjzECqCdBHe9OvTB0J2GmAPFar_GQ-JAP3E=&xsec_source=pc_user,5995009986
小红书,54,塔什干 100块的brunch 巧克力蛋糕超浓郁,100块的brunch 巧克力蛋糕超浓郁,COCOCHOU BAKERY,未进入已确认清单,Google候选=COCOCHOU BAKERY; 备注=Google有明确候选和坐标；Yandex坐标页未显示同名地点，仅作Google单源参考，需核对原帖证据,保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/68ea137e0000000004016a31?xsec_token=ABxmHYJFniWBb8IhjCS3lJpQ-SXap7np7yxaVawajsHsk=&xsec_source=pc_user,5995009986
小红书,56,塔什干 友谊餐厅,友谊餐厅,友谊餐厅,未进入已确认清单,Google候选=Yuzhanin; 备注=Google有明确候选和坐标；Yandex坐标页未显示同名地点，仅作Google单源参考，需核对原帖证据,保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/68d804970000000011017996?xsec_token=ABZ_ebEF1X87uey1wohi6lzS29PbA-KWp6Q4VlD_jf8Xg=&xsec_source=pc_user,5995009986
小红书,57,塔什干 index市场里的福建菜,index,Index market,未进入已确认清单,Google候选=Tashkent Index; 备注=Google有明确候选和坐标；Yandex坐标页未显示同名地点，仅作Google单源参考，需核对原帖证据,保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/68d8069d000000000e023ae7?xsec_token=ABZ_ebEF1X87uey1wohi6lzUNz1CSfxOh_Nt1u52FnIBQ=&xsec_source=pc_user,5995009986
小红书,59,塔什干 西西里餐厅 Sorrento,Sorrento,Sorrento,Google候选名称不明确，未采信,Google候选=# Google 地图; 备注=Google有坐标但候选名不是明确地点名，暂不采信,保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/68d3cb7b000000001101e4cb?xsec_token=ABPRZvtIgOa6726tXskaPcfjOK3Nnza37XZycIxg3F6q8=&xsec_source=pc_user,5995009986
小红书,64,塔什干 kfc的穷鬼套餐,kfc的穷鬼套餐,KFC,未进入已确认清单,Google候选=KFC; 备注=Google有明确候选和坐标；Yandex坐标页未显示同名地点，仅作Google单源参考，需核对原帖证据,保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/68b69f01000000001c0047f7?xsec_token=ABCS10RLzFwMOcSw7GU7fVcranWF3HOy5r8Crt7ZhhW4Y=&xsec_source=pc_user,5995009986
小红书,71,塔什干 最红的syrovarnya 吃嗨了,最红的syrovarnya 吃嗨了,Syrovarnya,Google候选名称不明确，未采信,Google候选=# Google 地图; 备注=Google有坐标但候选名不是明确地点名，暂不采信,保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/689f669c000000001b0227cb?xsec_token=ABlNKGmgi48Ua0an1nOYHPzz6oJbLyJlJKJr2Fz_kz68g=&xsec_source=pc_user,5995009986
小红书,78,塔什干 kitana 300w吃了个寂寞,kitana,Kitana,Google候选名称不明确，未采信,Google候选=# Google 地图; 备注=Google有坐标但候选名不是明确地点名，暂不采信,保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/688f983f00000000230270f3?xsec_token=AB6GkZYJIf4WrpvczFiySF9pvGVyfZlX79fWiAs77gM1c=&xsec_source=pc_user,5995009986
小红书,81,塔什干 美少女聚集的咖啡屋 Cocochou,Cocochou,Cocochou,Google候选名称不明确，未采信,Google候选=# Google 地图; 备注=Google有坐标但候选名不是明确地点名，暂不采信,保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/6888ab2800000000230219a5?xsec_token=AB3TMGjvI8zPH8HYEgsLc6Xd2IUITLa0yJXzsRnLDbEz8=&xsec_source=pc_user,5995009986
小红书,84,塔什干 index市场里的本地菜 doda,doda,Doda,Google候选名称不明确，未采信,Google候选=# Google 地图; 备注=Google有坐标但候选名不是明确地点名，暂不采信,保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/68820034000000002201d5bc?xsec_token=ABmijfJ1xGTnOo8S266lIbXIzPt1t9vgAs57QO9QmihmM=&xsec_source=pc_user,5995009986
小红书,85,塔什干 光盘每一餐的店 湘疆缘,湘疆缘,湘疆缘,未进入已确认清单,Google候选=Yapartner; 备注=Google有明确候选和坐标；Yandex坐标页未显示同名地点，仅作Google单源参考，需核对原帖证据,保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/687e1744000000002400ba23?xsec_token=ABnYAlvJlM5MzvB5gy_AYydmEcBMf-PC1GWK99Kwop-2w=&xsec_source=pc_user,5995009986
小红书,90,塔什干 棒约翰披萨🍕,塔什干 棒约翰披萨🍕,Papa Johns,Google重复默认/不明确坐标，未采信,"Google候选=# Google 地图; 备注=Google坐标 41.2982211,69.2385223 在多条无明确候选结果中重复出现，按规则不采信",保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/687202d60000000022032041?xsec_token=ABJkGG-gOSy9C-HsS_uB2zsqlLO93uktUfRTz3E4bxc5I=&xsec_source=pc_user,5995009986
小红书,93,塔什干 高加索菜 Южанин,高加索菜 Южанин,Южанин,Google重复默认/不明确坐标，未采信,"Google候选=# Google 地图; 备注=Google坐标 41.2915523,69.2837310 在多条无明确候选结果中重复出现，按规则不采信",保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/686fe04f000000002203c6e0?xsec_token=AByKtmOPTELC96Da71zNSZa16_FvdudWcAv--5FD__dj8=&xsec_source=pc_user,5995009986
小红书,99,塔什干 早餐 goodfood,塔什干 早餐 goodfood,Good Food,未进入已确认清单,Google候选=Bakery & Coffee by Good Food; 备注=Google有明确候选和坐标；Yandex坐标页未显示同名地点，仅作Google单源参考，需核对原帖证据,保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/684f015b000000002101856f?xsec_token=ABobl5ztud_WV7EEdqXC6M_bxxNRvEMGjyZwuoGQ-80Q8=&xsec_source=pc_user,5995009986
小红书,105,塔什干 啵啵唇美女如云的餐吧oko,啵啵唇美女如云的,Oko,Google候选名称不明确，未采信,Google候选=# Google 地图; 备注=Google有坐标但候选名不是明确地点名，暂不采信,保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/6841e10a0000000022024cbc?xsec_token=ABg5R5tQmWitAyEdX7IX9fzYhwYP4ktzOqg1UBlbd7uCo=&xsec_source=pc_user,5995009986
小红书,108,塔什干 法餐Paul,塔什干 法餐Paul,Paul,Google候选名称不明确，未采信,Google候选=# Google 地图; 备注=Google有坐标但候选名不是明确地点名，暂不采信,保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/6839eeb40000000022026861?xsec_token=ABv3t5FxtkRZnmYmM2b08Vdzvs_1TcRO0EdaILGgMcFk8=&xsec_source=pc_user,5995009986
小红书,109,塔什干 茶沃奶茶,茶沃,茶沃,未进入已确认清单,Google候选=【CHAOMI】东方茶蜜 Bubble Tea; 备注=Google有明确候选和坐标；Yandex坐标页未显示同名地点，仅作Google单源参考，需核对原帖证据,保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/6831fe170000000021008b71?xsec_token=ABJiSH8SM7rLuxEForFVouQxcMCMBv-UyC-9dSfn07vPU=&xsec_source=pc_user,5995009986
小红书,110,塔什干 Dosan美女帅哥 云集的咖啡馆,Dosan美女帅哥 云集的,Dosan,Google未解析到可用坐标,Google候选=# Google 地图; 备注=Google未解析到可用坐标,保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/6834120f000000002100343d?xsec_token=AB6d_JK2hth93igmiv3GZDDIQ2wEgN7O9-_7gwYdALqy0=&xsec_source=pc_user,5995009986
