来源,序号/名称,标题/名称,提取餐厅/地点名,餐饮标签,整理状态,Google搜索状态,最终纬度,最终经度,Google候选名,Google候选详情/地址,备注,Google Maps查询URL,Google页面文件,作者小红书号,账号名字,作者主页链接,原帖链接,地址线索,原帖证据
小红书,4,塔什干｜乌兹庭院民族风餐厅JIGARIM,JIGARIM,乌兹别克斯坦本地菜,待用户自行确认,Google有坐标待Yandex坐标复核,,,# Google 地图, |  | 附近 | 发送到手机,未在地图上获取有效位置坐标，用户搜索时，需要自行确认,https://www.google.com/maps/search/JIGARIM%20Tashkent%20Uzbekistan%20restaurant,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/01_seq4_JIGARIM.md,5995009986,未提取到,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/6a2450f900000000080314b7?xsec_token=AB7bG790pzJhiT1qeixtwKfpgx_PrHbfADpRHybSnt5RM=&xsec_source=pc_user,,"塔什干｜乌兹庭院民族风餐厅JIGARIM | JIGARIM | JIGARIM, Tashkent, Uzbekistan | JIGARIM Tashkent Uzbekistan"
小红书,7,塔什干｜乌兹民族菜 Shesh Besh,Shesh Besh,乌兹别克斯坦本地菜,待用户自行确认,Google有坐标待Yandex坐标复核,,,# Google 地图,"https://www.instagram.com/ https://www.instagram.com › DXy-xscIUWR | если у вас в Ташкенте один день, то обязательно советую .. | Но оно того стоит. Наконец-то долгожданное летнее меню в Shesh Besh! ... One day in the life of a content maker in Tashkent. In the morning we ...",未在地图上获取有效位置坐标，用户搜索时，需要自行确认,https://www.google.com/maps/search/Shesh%20Besh%20Tashkent%20Uzbekistan%20restaurant,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/03_seq7_Shesh_Besh.md,5995009986,未提取到,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/6a1b03e40000000006037703?xsec_token=AB1gQJ9U5Xz241Syy3WHNn1UChLR_sCcrkuF06LIegky8=&xsec_source=pc_user,,"塔什干｜乌兹民族菜 Shesh Besh | Shesh Besh | Shesh Besh, Tashkent, Uzbekistan | Shesh Besh Tashkent Uzbekistan"
小红书,56,塔什干 友谊餐厅,友谊餐厅,中餐,待用户自行确认,Google有坐标待Yandex坐标复核,,,Yuzhanin,4.7 (689) | 餐馆·Turkiston ko'chasi 12a | 已结束营业 · 开始营业时间：11:00 | 堂食·外带,未在地图上获取有效位置坐标，用户搜索时，需要自行确认,https://www.google.com/maps/search/%E5%8F%8B%E8%B0%8A%E9%A4%90%E5%8E%85%20Tashkent%20Uzbekistan%20restaurant,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/13_seq56_友谊餐厅.md,5995009986,未提取到,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/68d804970000000011017996?xsec_token=ABZ_ebEF1X87uey1wohi6lzS29PbA-KWp6Q4VlD_jf8Xg=&xsec_source=pc_user,,"塔什干 友谊餐厅 | 友谊餐厅 | 友谊餐厅, Tashkent, Uzbekistan | 友谊餐厅 Tashkent Uzbekistan"
小红书,57,塔什干 index市场里的福建菜,Index market,中餐,待用户自行确认,Google有坐标待Yandex坐标复核,,,Tashkent Index,4.5 (239) | 展览贸易中心··662Q+52W | 已结束营业 · 开始营业时间：09:00· +998 99 332 33 33,未在地图上获取有效位置坐标，用户搜索时，需要自行确认,https://www.google.com/maps/search/Index%20market%20Tashkent%20Uzbekistan%20restaurant,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/14_seq57_index.md,5995009986,未提取到,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/68d8069d000000000e023ae7?xsec_token=ABZ_ebEF1X87uey1wohi6lzUNz1CSfxOh_Nt1u52FnIBQ=&xsec_source=pc_user,in,"塔什干 index市场里的福建菜 | index | in | in, Tashkent, Uzbekistan | index Tashkent Uzbekistan"
小红书,59,塔什干 西西里餐厅 Sorrento,Sorrento,西餐,待用户自行确认,Google有坐标待Yandex坐标复核,,,# Google 地图,,未在地图上获取有效位置坐标，用户搜索时，需要自行确认,https://www.google.com/maps/search/Sorrento%20Tashkent%20Uzbekistan%20restaurant,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/15_seq59_Sorrento.md,5995009986,未提取到,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/68d3cb7b000000001101e4cb?xsec_token=ABPRZvtIgOa6726tXskaPcfjOK3Nnza37XZycIxg3F6q8=&xsec_source=pc_user,"[2026-06-11T08:47:51.055Z] sessionId=323382793222356993 vertical={""hasMore"":false,""stopReason"":""end_of_scroll""} horizontal={""hasMore"":false}","塔什干 西西里餐厅 Sorrento | Sorrento | [2026-06-11T08:47:51.055Z] sessionId=323382793222356993 vertical={""hasMore"":false,""stopReason"":""end_of_scroll""} horizontal={""hasMore"":false} | [2026-06-11T08:47:51.055Z] sessionId=323382793222356993 vertical={""hasMore"":false,""stopReason"":""end_of_scroll""} horizontal={""hasMore"":false}, Tashkent, Uzbekistan | Sorrento Tashkent Uzbekistan"
小红书,64,塔什干 kfc的穷鬼套餐,KFC,其他,待用户自行确认,Google有坐标待Yandex坐标复核,,,KFC,3.3 (58)·UZS 5-10万 | 快餐·Улица Баходира 1 | 24 小时营业·+998 78 129 70 00 | 堂食·外带·送货,未在地图上获取有效位置坐标，用户搜索时，需要自行确认,https://www.google.com/maps/search/KFC%20Tashkent%20Uzbekistan%20restaurant,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/16_seq64_kfc的穷鬼套餐.md,5995009986,未提取到,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/68b69f01000000001c0047f7?xsec_token=ABCS10RLzFwMOcSw7GU7fVcranWF3HOy5r8Crt7ZhhW4Y=&xsec_source=pc_user,,"塔什干 kfc的穷鬼套餐 | kfc的穷鬼套餐 | kfc的穷鬼套餐, Tashkent, Uzbekistan | kfc的穷鬼套餐 Tashkent Uzbekistan"
小红书,71,塔什干 最红的syrovarnya 吃嗨了,Syrovarnya,西餐,待用户自行确认,Google有坐标待Yandex坐标复核,,,# Google 地图,,未在地图上获取有效位置坐标，用户搜索时，需要自行确认,https://www.google.com/maps/search/Syrovarnya%20Tashkent%20Uzbekistan%20restaurant,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/19_seq71_最红的syrovarnya_吃嗨了.md,5995009986,未提取到,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/689f669c000000001b0227cb?xsec_token=ABlNKGmgi48Ua0an1nOYHPzz6oJbLyJlJKJr2Fz_kz68g=&xsec_source=pc_user,,"塔什干 最红的syrovarnya 吃嗨了 | 最红的syrovarnya 吃嗨了 | 最红的syrovarnya 吃嗨了, Tashkent, Uzbekistan | 最红的syrovarnya 吃嗨了 Tashkent Uzbekistan"
小红书,78,塔什干 kitana 300w吃了个寂寞,Kitana,其他,待用户自行确认,Google有坐标待Yandex坐标复核,,,# Google 地图,,未在地图上获取有效位置坐标，用户搜索时，需要自行确认,https://www.google.com/maps/search/Kitana%20Tashkent%20Uzbekistan%20restaurant,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/22_seq78_kitana.md,5995009986,未提取到,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/688f983f00000000230270f3?xsec_token=AB6GkZYJIf4WrpvczFiySF9pvGVyfZlX79fWiAs77gM1c=&xsec_source=pc_user,,"塔什干 kitana 300w吃了个寂寞 | kitana | kitana, Tashkent, Uzbekistan | kitana Tashkent Uzbekistan"
小红书,84,塔什干 index市场里的本地菜 doda,Doda,乌兹别克斯坦本地菜,待用户自行确认,Google有坐标待Yandex坐标复核,,,# Google 地图,,未在地图上获取有效位置坐标，用户搜索时，需要自行确认,https://www.google.com/maps/search/Doda%20Tashkent%20Uzbekistan%20restaurant,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/26_seq84_doda.md,5995009986,未提取到,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/68820034000000002201d5bc?xsec_token=ABmijfJ1xGTnOo8S266lIbXIzPt1t9vgAs57QO9QmihmM=&xsec_source=pc_user,搜index doda,"塔什干 index市场里的本地菜 doda | doda | 搜index doda | 搜index doda, Tashkent, Uzbekistan | doda Tashkent Uzbekistan"
小红书,85,塔什干 光盘每一餐的店 湘疆缘,湘疆缘,中餐,待用户自行确认,Google有坐标待Yandex坐标复核,,,Yapartner,"2.8 (207) | 出租车公司··Ташкент, Чиланзарский район квартал 6, 22 | +998 97 720 78 89 | 门店服务",未在地图上获取有效位置坐标，用户搜索时，需要自行确认,https://www.google.com/maps/search/%E6%B9%98%E7%96%86%E7%BC%98%20Tashkent%20Uzbekistan%20restaurant,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/27_seq85_湘疆缘.md,5995009986,未提取到,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/687e1744000000002400ba23?xsec_token=ABnYAlvJlM5MzvB5gy_AYydmEcBMf-PC1GWK99Kwop-2w=&xsec_source=pc_user,Yan,"塔什干 光盘每一餐的店 湘疆缘 | 湘疆缘 | Yan | Yan, Tashkent, Uzbekistan | 湘疆缘 Tashkent Uzbekistan"
