来源,序号/名称,标题/名称,提取名,新提取餐厅/地点名,原因分类,原因详情,按新规则处理,原帖链接,作者小红书号
小红书,8,塔什干｜下午茶之约,塔什干｜下午茶之约,,未进入已确认清单,Google候选=flowers.milk tea; 备注=Google有明确候选和坐标；Yandex坐标页未显示同名地点，仅作Google单源参考，需核对原帖证据,删除-提取不到可用餐厅/地点名,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/6a19d95d0000000006021f65?xsec_token=ABSF_l0zLr_QNYV-1RG5Wq5HuJHmyGfIKsO_0ZRD9eifM=&xsec_source=pc_user,5995009986
小红书,55,塔什干 ktv是每个浪子深夜的救赎,ktv是每个浪子深夜的救赎,,Google候选名称不明确，未采信,Google候选=# Google 地图; 备注=Google有坐标但候选名不是明确地点名，暂不采信,删除-提取不到可用餐厅/地点名,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/68d80f83000000001101f879?xsec_token=ABZ_ebEF1X87uey1wohi6lzZAYhWAwl4I886miSIita-g=&xsec_source=pc_user,5995009986
小红书,67,塔什干 福建菜,塔什干 福建菜,,Google重复默认/不明确坐标，未采信,"Google候选=# Google 地图; 备注=Google坐标 41.2982211,69.2385223 在多条无明确候选结果中重复出现，按规则不采信",删除-提取不到可用餐厅/地点名,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/68a74e9e000000001b01c088?xsec_token=ABTkJSRcAdDS_pLg2S2KWbt-rzRlSJfyMBcCf7OGcet30=&xsec_source=pc_user,5995009986
小红书,72,塔什干 米其林100w的服务费 吃的我腿麻,米其林100w的服务费 吃的我腿麻,,Google重复默认/不明确坐标，未采信,"Google候选=# Google 地图; 备注=Google坐标 41.2982211,69.2385223 在多条无明确候选结果中重复出现，按规则不采信",删除-提取不到可用餐厅/地点名,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/689b2212000000001c006d2d?xsec_token=ABcUIhap0IUk_VRjDKu9GkJihxNubK5Akp6Ods_qQLZYo=&xsec_source=pc_user,5995009986
小红书,73,Jlo塔什干演唱会探店合集 独家汇总,Jlo塔什干演唱会探店合集 独家汇总,,Google重复默认/不明确坐标，未采信,"Google候选=# Google 地图; 备注=Google坐标 41.2982211,69.2385223 在多条无明确候选结果中重复出现，按规则不采信",删除-提取不到可用餐厅/地点名,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/68960431000000002302053d?xsec_token=ABGjtt9jnG8I3WAzlKg9K5PmKVc-yEbnJNjtZjg00xIpc=&xsec_source=pc_user,5995009986
小红书,127,塔什干 精神小妹套餐,精神小妹套餐,,Google重复默认/不明确坐标，未采信,"Google候选=# Google 地图; 备注=Google坐标 41.2982211,69.2385223 在多条无明确候选结果中重复出现，按规则不采信",删除-提取不到可用餐厅/地点名,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/680e54940000000021003905?xsec_token=ABeuh_t8G2ab1ckGElY6p0NCNdYkDnnSpN_NI3iwqsVIY=&xsec_source=pc_user,5995009986
小红书,140,塔什干 旧货市场 给摊主砍急眼送我个大镯子,旧货,,未进入已确认清单,Google候选=Uzum Market; 备注=Google有明确候选和坐标；Yandex坐标页未显示同名地点，仅作Google单源参考，需核对原帖证据,删除-提取不到可用餐厅/地点名,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/67fa33b8000000001a0040ff?xsec_token=AB4d8s_s87cnWXRDS3ABCKtQw1lOJMY5PDk5IQw8lLRbE=&xsec_source=pc_user,5995009986
小红书,142,塔什干 味道不错的 本地特色菜自选餐厅,味道不错的,,未进入已确认清单,Google候选=Yuzhanin; 备注=Google有明确候选和坐标；Yandex坐标页未显示同名地点，仅作Google单源参考，需核对原帖证据,删除-提取不到可用餐厅/地点名,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/67f7cf0c000000001d01538d?xsec_token=ABaf3PrZlVRHRyj3ivARyKE32kjuYnH0y1cP748NYfans=&xsec_source=pc_user,5995009986
小红书,143,塔什干 爸爸的菜,爸爸的菜,,Google重复默认/不明确坐标，未采信,"Google候选=# Google 地图; 备注=Google坐标 41.2982211,69.2385223 在多条无明确候选结果中重复出现，按规则不采信",删除-提取不到可用餐厅/地点名,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/67f53956000000001c009393?xsec_token=AB4O7Frliia7UTHVeRAOotoNlGogoipAk3tqXvxXjbNWM=&xsec_source=pc_user,5995009986
小红书,147,塔什干 10分钟做个早餐 包括北非蛋,10分钟做个,,未进入已确认清单,Google候选=Terminal Cafe; 备注=Google有明确候选和坐标；Yandex坐标页未显示同名地点，仅作Google单源参考，需核对原帖证据,删除-提取不到可用餐厅/地点名,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/67ea1891000000000900d51a?xsec_token=ABFRs-mfu7eZ4IyALQm65RJayNyeNVkV5JJvQw0jVE4yM=&xsec_source=pc_user,5995009986
